regimen_name,regimen_id,ingredient_name,ingredient_concept_id
FOLFOX4 (L-Leucovorin),35102004,oxaliplatin,1318011
FOLFOX4 (L-Leucovorin),35102004,levoleucovorin,40168303
FOLFOX 7/sLV5FU2 (L-Leucovorin),35102005,Fluorouracil,955632
FOLFOX 7/sLV5FU2 (L-Leucovorin),35102005,oxaliplatin,1318011
FOLFOX 7/sLV5FU2 (L-Leucovorin),35102005,levoleucovorin,40168303
FOLFIRI and Cetuximab (L-Leucovorin),35102006,Fluorouracil,955632
FOLFIRI and Cetuximab (L-Leucovorin),35102006,cetuximab,1315411
FOLFIRI and Cetuximab (L-Leucovorin),35102006,irinotecan,1367268
FOLFIRI and Cetuximab (L-Leucovorin),35102006,levoleucovorin,40168303
FOLFIRI and Bevacizumab (L-Leucovorin),35102007,Fluorouracil,955632
FOLFIRI and Bevacizumab (L-Leucovorin),35102007,irinotecan,1367268
FOLFIRI and Bevacizumab (L-Leucovorin),35102007,bevacizumab,1397141
FOLFIRI and Bevacizumab (L-Leucovorin),35102007,levoleucovorin,40168303
FOLFIRI (L-Leucovorin),35102008,Fluorouracil,955632
FOLFIRI (L-Leucovorin),35102008,irinotecan,1367268
FOLFIRI (L-Leucovorin),35102008,levoleucovorin,40168303
Fluorouracil and Levoleucovorin,35102009,Fluorouracil,955632
Fluorouracil and Levoleucovorin,35102009,levoleucovorin,40168303
FEC and H (SC),35102010,Fluorouracil,955632
FEC and H (SC),35102010,Cyclophosphamide,1310317
FEC and H (SC),35102010,Epirubicin,1344354
R-MCP (CCNU),35102011,Methotrexate,1305058
R-MCP (CCNU),35102011,rituximab,1314273
R-MCP (CCNU),35102011,Procarbazine,1351779
R-MCP (CCNU),35102011,Lomustine,1391846
R-CHOP-14 (Prednisolone),35102012,Vincristine,1308290
R-CHOP-14 (Prednisolone),35102012,Cyclophosphamide,1310317
R-CHOP-14 (Prednisolone),35102012,rituximab,1314273
R-CHOP-14 (Prednisolone),35102012,Doxorubicin,1338512
R-CHOP-14 (Prednisolone),35102012,prednisolone,1550557
R-CHOP (Rituximab Hycela),35102013,Vincristine,1308290
R-CHOP (Rituximab Hycela),35102013,Cyclophosphamide,1310317
R-CHOP (Rituximab Hycela),35102013,rituximab,1314273
R-CHOP (Rituximab Hycela),35102013,Doxorubicin,1338512
R-CHOP (Rituximab Hycela),35102013,Prednisone,1551099
R-CHOP (Prednisolone),35102014,Vincristine,1308290
R-CHOP (Prednisolone),35102014,Cyclophosphamide,1310317
R-CHOP (Prednisolone),35102014,rituximab,1314273
R-CHOP (Prednisolone),35102014,Doxorubicin,1338512
R-CHOP (Prednisolone),35102014,prednisolone,1550557
MP (Prednisolone),35102015,Melphalan,1301267
MP (Prednisolone),35102015,prednisolone,1550557
"Mitoxantrone, Asparaginase Erwinia chrysanthemi, Vincristine, Dexamethasone",35102016,Vincristine,1308290
"Mitoxantrone, Asparaginase Erwinia chrysanthemi, Vincristine, Dexamethasone",35102016,Mitoxantrone,1309188
"Mitoxantrone, Asparaginase Erwinia chrysanthemi, Vincristine, Dexamethasone",35102016,Dexamethasone,1518254
"Mitoxantrone, Asparaginase Erwinia chrysanthemi, Vincristine, Dexamethasone",35102016,ASPARAGINASE,19012585
MCP (Prednisolone),35102017,Mitoxantrone,1309188
MCP (Prednisolone),35102017,Chlorambucil,1390051
MCP (Prednisolone),35102017,prednisolone,1550557
FULV/FULV and RT,35102019,Fluorouracil,955632
FULV/FULV and RT,35102019,Leucovorin,1388796
eBEACOPP (Prednisolone),35102020,Vincristine,1308290
eBEACOPP (Prednisolone),35102020,Cyclophosphamide,1310317
eBEACOPP (Prednisolone),35102020,Bleomycin,1329241
eBEACOPP (Prednisolone),35102020,Doxorubicin,1338512
eBEACOPP (Prednisolone),35102020,Etoposide,1350504
eBEACOPP (Prednisolone),35102020,Procarbazine,1351779
eBEACOPP (Prednisolone),35102020,prednisolone,1550557
DOLP (Prednisolone),35102021,Vincristine,1308290
DOLP (Prednisolone),35102021,Daunorubicin,1311799
DOLP (Prednisolone),35102021,prednisolone,1550557
DOLP (Prednisolone),35102021,ASPARAGINASE,19012585
Docetaxel and Prednisolone,35102022,docetaxel,1315942
Docetaxel and Prednisolone,35102022,prednisolone,1550557
"Cyclophosphamide, Daunorubicin, Vincristine, Prednisolone",35102023,Vincristine,1308290
"Cyclophosphamide, Daunorubicin, Vincristine, Prednisolone",35102023,Cyclophosphamide,1310317
"Cyclophosphamide, Daunorubicin, Vincristine, Prednisolone",35102023,Daunorubicin,1311799
"Cyclophosphamide, Daunorubicin, Vincristine, Prednisolone",35102023,prednisolone,1550557
CVP (Vinblastine/Prednisone),35102024,Cyclophosphamide,1310317
CVP (Vinblastine/Prednisone),35102024,prednisolone,1550557
CVP (Vinblastine/Prednisone),35102024,Vinblastine,19008264
CVP (Prednisolone),35102025,Vincristine,1308290
CVP (Prednisolone),35102025,Cyclophosphamide,1310317
CVP (Prednisolone),35102025,prednisolone,1550557
CNOP (Prednisolone),35102026,Vincristine,1308290
CNOP (Prednisolone),35102026,Mitoxantrone,1309188
CNOP (Prednisolone),35102026,Cyclophosphamide,1310317
CNOP (Prednisolone),35102026,prednisolone,1550557
CHOP Modified (Prednisolone),35102027,Vincristine,1308290
CHOP Modified (Prednisolone),35102027,Cyclophosphamide,1310317
CHOP Modified (Prednisolone),35102027,Doxorubicin,1338512
CHOP Modified (Prednisolone),35102027,prednisolone,1550557
CHOP (Prednisolone),35102028,Vincristine,1308290
CHOP (Prednisolone),35102028,Cyclophosphamide,1310317
CHOP (Prednisolone),35102028,Doxorubicin,1338512
CHOP (Prednisolone),35102028,prednisolone,1550557
CEOP (Prednisolone),35102029,Vincristine,1308290
CEOP (Prednisolone),35102029,Cyclophosphamide,1310317
CEOP (Prednisolone),35102029,Epirubicin,1344354
CEOP (Prednisolone),35102029,prednisolone,1550557
Carboplatin and Cisplatin,35102030,Carboplatin,1344905
Carboplatin and Cisplatin,35102030,Cisplatin,1397599
BEACOPP-14 (Prednisolone),35102031,Vincristine,1308290
BEACOPP-14 (Prednisolone),35102031,Cyclophosphamide,1310317
BEACOPP-14 (Prednisolone),35102031,Bleomycin,1329241
BEACOPP-14 (Prednisolone),35102031,Doxorubicin,1338512
BEACOPP-14 (Prednisolone),35102031,Etoposide,1350504
BEACOPP-14 (Prednisolone),35102031,Procarbazine,1351779
BEACOPP-14 (Prednisolone),35102031,prednisolone,1550557
AspaMetDex (Erwinaze),35102032,Methotrexate,1305058
AspaMetDex (Erwinaze),35102032,Dexamethasone,1518254
AspaMetDex (Erwinaze),35102032,ASPARAGINASE,19012585
mDCF,35802849,Fluorouracil,955632
mDCF,35802849,docetaxel,1315942
mDCF,35802849,Leucovorin,1388796
mDCF,35802849,Cisplatin,1397599
KMP,35802851,Melphalan,1301267
KMP,35802851,Prednisone,1551099
KMP,35802851,carfilzomib,42873638
Cyclophosphamide and Prednisone,35803429,Cyclophosphamide,1310317
Cyclophosphamide and Prednisone,35803429,Prednisone,1551099
Prednisone monotherapy,35803430,Prednisone,1551099
Prednisolone monotherapy,35803431,prednisolone,1550557
Rituximab monotherapy,35803432,rituximab,1314273
7 plus 3d,35803434,Cytarabine,1311078
7 plus 3d,35803434,Daunorubicin,1311799
HiDAC,35803435,Cytarabine,1311078
IDAC,35803436,Cytarabine,1311078
5 plus 2d,35803439,Cytarabine,1311078
5 plus 2d,35803439,Daunorubicin,1311799
CLAG,35803440,Cytarabine,1311078
CLAG,35803440,Cladribine,19054825
HAM,35803441,Mitoxantrone,1309188
HAM,35803441,Cytarabine,1311078
Cytarabine and Daunorubicin,35803442,Cytarabine,1311078
Cytarabine and Daunorubicin,35803442,Daunorubicin,1311799
Cytarabine and Idarubicin,35803443,Cytarabine,1311078
Cytarabine and Idarubicin,35803443,Idarubicin,19078097
7 plus 3d and GO,35803445,Cytarabine,1311078
7 plus 3d and GO,35803445,Daunorubicin,1311799
7 plus 3d and GO,35803445,Gemtuzumab ozogamicin,42799711
"Cytarabine, Daunorubicin, Gemtuzumab ozogamicin",35803446,Cytarabine,1311078
"Cytarabine, Daunorubicin, Gemtuzumab ozogamicin",35803446,Daunorubicin,1311799
"Cytarabine, Daunorubicin, Gemtuzumab ozogamicin",35803446,Gemtuzumab ozogamicin,42799711
7 plus 3i,35803447,Cytarabine,1311078
7 plus 3i,35803447,Idarubicin,19078097
CYVE,35803448,Cytarabine,1311078
CYVE,35803448,Etoposide,1350504
7 plus 3i and Sorafenib,35803449,Cytarabine,1311078
7 plus 3i and Sorafenib,35803449,sorafenib,1363387
7 plus 3i and Sorafenib,35803449,Idarubicin,19078097
"Cytarabine, Idarubicin, Sorafenib",35803450,Cytarabine,1311078
"Cytarabine, Idarubicin, Sorafenib",35803450,sorafenib,1363387
"Cytarabine, Idarubicin, Sorafenib",35803450,Idarubicin,19078097
7 plus 3d and Glasdegib,35803451,Cytarabine,1311078
7 plus 3d and Glasdegib,35803451,Daunorubicin,1311799
7 plus 3d and Glasdegib,35803451,glasdegib,1355795
7 plus 3m,35803452,Mitoxantrone,1309188
7 plus 3m,35803452,Cytarabine,1311078
ADE (standard-dose Ara-C),35803453,Cytarabine,1311078
ADE (standard-dose Ara-C),35803453,Daunorubicin,1311799
ADE (standard-dose Ara-C),35803453,Etoposide,1350504
ADE (high-dose Ara-C),35803454,Cytarabine,1311078
ADE (high-dose Ara-C),35803454,Daunorubicin,1311799
ADE (high-dose Ara-C),35803454,Etoposide,1350504
CIA,35803455,Cytarabine,1311078
CIA,35803455,clofarabine,19054821
CIA,35803455,Idarubicin,19078097
DAC,35803456,Cytarabine,1311078
DAC,35803456,Daunorubicin,1311799
DAC,35803456,Cladribine,19054825
FLAG-Ida,35803457,Cytarabine,1311078
FLAG-Ida,35803457,fludarabine,1395557
FLAG-Ida,35803457,Idarubicin,19078097
HAA,35803458,Cytarabine,1311078
HAA,35803458,Aclarubicin,19057483
HAA,35803458,omacetaxine,45775576
HAD,35803459,Cytarabine,1311078
HAD,35803459,Daunorubicin,1311799
HAD,35803459,omacetaxine,45775576
AIE,35803460,Cytarabine,1311078
AIE,35803460,Etoposide,1350504
AIE,35803460,Idarubicin,19078097
ICL,35803461,Cytarabine,1311078
ICL,35803461,Lomustine,1391846
ICL,35803461,Idarubicin,19078097
"IC and Norethandrolone/6-MP, MTX, Norethandrolone",35803462,Methotrexate,1305058
"IC and Norethandrolone/6-MP, MTX, Norethandrolone",35803462,Cytarabine,1311078
"IC and Norethandrolone/6-MP, MTX, Norethandrolone",35803462,mercaptopurine,1436650
"IC and Norethandrolone/6-MP, MTX, Norethandrolone",35803462,Idarubicin,19078097
"IC and Norethandrolone/6-MP, MTX, Norethandrolone",35803462,Norethandrolone,19128219
MEC,35803463,Mitoxantrone,1309188
MEC,35803463,Cytarabine,1311078
MEC,35803463,Etoposide,1350504
Azacitidine monotherapy,35803465,Azacitidine,1314865
Azacitidine and Venetoclax,35803466,Azacitidine,1314865
Azacitidine and Venetoclax,35803466,venetoclax,35604205
Azacitidine and Gemtuzumab ozogamicin,35803467,Azacitidine,1314865
Azacitidine and Gemtuzumab ozogamicin,35803467,Gemtuzumab ozogamicin,42799711
Clofarabine monotherapy,35803469,clofarabine,19054821
Clofarabine and LoDAC,35803470,Cytarabine,1311078
Clofarabine and LoDAC,35803470,clofarabine,19054821
Decitabine monotherapy,35803471,decitabine,19024728
Clofarabine and LoDAC/Decitabine,35803472,Cytarabine,1311078
Clofarabine and LoDAC/Decitabine,35803472,decitabine,19024728
Clofarabine and LoDAC/Decitabine,35803472,clofarabine,19054821
Decitabine and Venetoclax,35803474,decitabine,19024728
Decitabine and Venetoclax,35803474,venetoclax,35604205
Gemtuzumab ozogamicin monotherapy,35803475,Gemtuzumab ozogamicin,42799711
Glasdegib and LoDAC,35803476,Cytarabine,1311078
Glasdegib and LoDAC,35803476,glasdegib,1355795
LoDAC,35803477,Cytarabine,1311078
LoDAC and Venetoclax,35803478,Cytarabine,1311078
LoDAC and Venetoclax,35803478,venetoclax,35604205
Temozolomide monotherapy,35803479,temozolomide,1341149
Cytarabine and Mitoxantrone,35803481,Mitoxantrone,1309188
Cytarabine and Mitoxantrone,35803481,Cytarabine,1311078
HDAC and G-CSF,35803483,Cytarabine,1311078
"BuCy, then auto HSCT",35803484,Cyclophosphamide,1310317
"BuCy, then auto HSCT",35803484,Busulfan,1333357
"BuFlu, then allo HSCT",35803485,Busulfan,1333357
"BuFlu, then allo HSCT",35803485,fludarabine,1395557
CLARA,35803486,Cytarabine,1311078
CLARA,35803486,clofarabine,19054821
Sorafenib monotherapy,35803487,sorafenib,1363387
"Cyclophosphamide and TBI, then allo HSCT",35803488,Cyclophosphamide,1310317
Etoposide and Mitoxantrone,35803490,Mitoxantrone,1309188
Etoposide and Mitoxantrone,35803490,Etoposide,1350504
"Fludarabine and TBI, then allo HSCT",35803491,fludarabine,1395557
"Fludarabine, Busulfan, ATG, then allo HSCT",35803493,Busulfan,1333357
"Fludarabine, Busulfan, ATG, then allo HSCT",35803493,fludarabine,1395557
CLAG-M,35803494,Mitoxantrone,1309188
CLAG-M,35803494,Cytarabine,1311078
CLAG-M,35803494,Cladribine,19054825
Clofarabine and Cytarabine,35803498,Cytarabine,1311078
Clofarabine and Cytarabine,35803498,clofarabine,19054821
"Clofarabine and Melphalan, then allo HSCT",35803500,Melphalan,1301267
"Clofarabine and Melphalan, then allo HSCT",35803500,clofarabine,19054821
FLAG,35803501,Cytarabine,1311078
FLAG,35803501,fludarabine,1395557
Cytarabine and Thioguanine,35803502,Cytarabine,1311078
Cytarabine and Thioguanine,35803502,Thioguanine,1437379
F-SHAI,35803503,Cytarabine,1311078
F-SHAI,35803503,fludarabine,1395557
F-SHAI,35803503,Idarubicin,19078097
"BuCy, then allo HSCT",35803505,Cyclophosphamide,1310317
"BuCy, then allo HSCT",35803505,Busulfan,1333357
FLAG-DNX,35803506,Cytarabine,1311078
FLAG-DNX,35803506,fludarabine,1395557
FLAG-DNX,35803506,Daunorubicin Liposomal,19051599
Ruxolitinib monotherapy,35803508,ruxolitinib,40244464
7 plus 3d and Midostaurin,35803509,Cytarabine,1311078
7 plus 3d and Midostaurin,35803509,Daunorubicin,1311799
7 plus 3d and Midostaurin,35803509,midostaurin,1594003
HiDAC and Midostaurin,35803510,Cytarabine,1311078
HiDAC and Midostaurin,35803510,midostaurin,1594003
7 plus 3d and Sorafenib,35803511,Cytarabine,1311078
7 plus 3d and Sorafenib,35803511,Daunorubicin,1311799
7 plus 3d and Sorafenib,35803511,sorafenib,1363387
IDAC and Sorafenib,35803512,Cytarabine,1311078
IDAC and Sorafenib,35803512,sorafenib,1363387
Midostaurin monotherapy,35803513,midostaurin,1594003
Gilteritinib monotherapy,35803515,gilteritinib,1355513
Azacitidine and Sorafenib,35803516,Azacitidine,1314865
Azacitidine and Sorafenib,35803516,sorafenib,1363387
Ivosidenib monotherapy,35803517,ivosidenib,1560123
Enasidenib monotherapy,35803518,enasidenib,793797
5 plus 3d,35803519,Cytarabine,1311078
5 plus 3d,35803519,Daunorubicin,1311799
5 plus 3i,35803520,Cytarabine,1311078
5 plus 3i,35803520,Idarubicin,19078097
7 plus 3i and Panobinostat,35803522,Cytarabine,1311078
7 plus 3i and Panobinostat,35803522,Idarubicin,19078097
7 plus 3i and Panobinostat,35803522,panobinostat,46221435
Panobinostat monotherapy,35803523,panobinostat,46221435
7 plus 3i and Vorinostat,35803524,Cytarabine,1311078
7 plus 3i and Vorinostat,35803524,Vorinostat,1337651
7 plus 3i and Vorinostat,35803524,Idarubicin,19078097
"Cytarabine, Idarubicin, Vorinostat",35803525,Cytarabine,1311078
"Cytarabine, Idarubicin, Vorinostat",35803525,Vorinostat,1337651
"Cytarabine, Idarubicin, Vorinostat",35803525,Idarubicin,19078097
7 plus 5i,35803526,Cytarabine,1311078
7 plus 5i,35803526,Idarubicin,19078097
"Cytarabine, Daunorubicin, Vincristine",35803527,Vincristine,1308290
"Cytarabine, Daunorubicin, Vincristine",35803527,Cytarabine,1311078
"Cytarabine, Daunorubicin, Vincristine",35803527,Daunorubicin,1311799
"Cytarabine, Daunorubicin, Mercaptopurine, Prednisolone",35803528,Cytarabine,1311078
"Cytarabine, Daunorubicin, Mercaptopurine, Prednisolone",35803528,Daunorubicin,1311799
"Cytarabine, Daunorubicin, Mercaptopurine, Prednisolone",35803528,mercaptopurine,1436650
"Cytarabine, Daunorubicin, Mercaptopurine, Prednisolone",35803528,prednisolone,1550557
"Cytarabine, Doxorubicin, Vincristine, Prednisolone",35803529,Vincristine,1308290
"Cytarabine, Doxorubicin, Vincristine, Prednisolone",35803529,Cytarabine,1311078
"Cytarabine, Doxorubicin, Vincristine, Prednisolone",35803529,Doxorubicin,1338512
"Cytarabine, Doxorubicin, Vincristine, Prednisolone",35803529,prednisolone,1550557
Daunorubicin monotherapy,35803530,Daunorubicin,1311799
DAT,35803531,Cytarabine,1311078
DAT,35803531,Daunorubicin,1311799
DAT,35803531,Thioguanine,1437379
DCTER,35803532,Cytarabine,1311078
DCTER,35803532,Daunorubicin,1311799
DCTER,35803532,Etoposide,1350504
DCTER,35803532,Thioguanine,1437379
DCTER,35803532,Dexamethasone,1518254
D-ZAPO,35803533,Vincristine,1308290
D-ZAPO,35803533,Cytarabine,1311078
D-ZAPO,35803533,Daunorubicin,1311799
D-ZAPO,35803533,Azacitidine,1314865
D-ZAPO,35803533,Prednisone,1551099
Decitabine and Valproate,35803534,Valproate,745466
Decitabine and Valproate,35803534,decitabine,19024728
Mercaptopurine monotherapy,35803535,mercaptopurine,1436650
PATCO,35803536,Vincristine,1308290
PATCO,35803536,Cyclophosphamide,1310317
PATCO,35803536,Cytarabine,1311078
PATCO,35803536,Thioguanine,1437379
PATCO,35803536,Prednisone,1551099
VAMP (Amethopterin),35803537,Methotrexate,1305058
VAMP (Amethopterin),35803537,Vincristine,1308290
VAMP (Amethopterin),35803537,mercaptopurine,1436650
VAMP (Amethopterin),35803537,Prednisone,1551099
Amsacrine and Cytarabine,35803538,Cytarabine,1311078
Amsacrine and Cytarabine,35803538,Amsacrine,19017810
Cytarabine monotherapy,35803539,Cytarabine,1311078
Vorinostat monotherapy,35803540,Vorinostat,1337651
POMP,35803541,Methotrexate,1305058
POMP,35803541,Vincristine,1308290
POMP,35803541,mercaptopurine,1436650
POMP,35803541,Prednisone,1551099
IAP,35803542,Cytarabine,1311078
IAP,35803542,Pravastatin,1551860
IAP,35803542,Idarubicin,19078097
SHAI,35803543,Cytarabine,1311078
SHAI,35803543,Idarubicin,19078097
Vosaroxin and Cytarabine,35803544,Cytarabine,1311078
"Azacitidine, Vorinostat, Gemtuzumab ozogamicin",35803545,Azacitidine,1314865
"Azacitidine, Vorinostat, Gemtuzumab ozogamicin",35803545,Vorinostat,1337651
"Azacitidine, Vorinostat, Gemtuzumab ozogamicin",35803545,Gemtuzumab ozogamicin,42799711
Cladribine monotherapy,35803546,Cladribine,19054825
ADE and ATRA,35803547,Tretinoin,903643
ADE and ATRA,35803547,Cytarabine,1311078
ADE and ATRA,35803547,Daunorubicin,1311799
ADE and ATRA,35803547,Etoposide,1350504
Arsenic trioxide monotherapy,35803548,arsenic trioxide,1333379
Arsenic trioxide and ATRA,35803549,Tretinoin,903643
Arsenic trioxide and ATRA,35803549,arsenic trioxide,1333379
"Arsenic trioxide, ATRA, Gemtuzumab ozogamicin",35803550,Tretinoin,903643
"Arsenic trioxide, ATRA, Gemtuzumab ozogamicin",35803550,arsenic trioxide,1333379
"Arsenic trioxide, ATRA, Gemtuzumab ozogamicin",35803550,Gemtuzumab ozogamicin,42799711
"Arsenic trioxide, ATRA, Idarubicin",35803551,Tretinoin,903643
"Arsenic trioxide, ATRA, Idarubicin",35803551,arsenic trioxide,1333379
"Arsenic trioxide, ATRA, Idarubicin",35803551,Idarubicin,19078097
ATRA monotherapy,35803552,Tretinoin,903643
"ATRA, Cytarabine, Daunorubicin",35803553,Tretinoin,903643
"ATRA, Cytarabine, Daunorubicin",35803553,Cytarabine,1311078
