concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
40161930,19012735,Concept replaces,2013-01-07,2099-12-31,NA
19029370,40004944,Concept replaces,2012-10-01,2099-12-31,NA
975125,40182289,Concept replaces,2012-10-01,2099-12-31,NA
42904120,42899885,Concept replaces,2013-01-07,2099-12-31,NA
42904117,42900530,Concept replaces,2013-01-07,2099-12-31,NA
42904036,42899967,Concept replaces,2013-01-07,2099-12-31,NA
42904032,42898321,Concept replaces,2013-01-07,2099-12-31,NA
42903962,42898338,Concept replaces,2013-01-07,2099-12-31,NA
42904004,42898628,Concept replaces,2013-01-07,2099-12-31,NA
42903995,42899341,Concept replaces,2013-01-07,2099-12-31,NA
42904011,42899586,Concept replaces,2013-01-07,2099-12-31,NA
42904098,42899874,Concept replaces,2013-01-07,2099-12-31,NA
42900342,19018519,Concept replaces,2013-01-07,2099-12-31,NA
19056804,42899832,Concept replaced by,2015-09-08,2099-12-31,NA
42899832,19056804,Concept replaces,2015-09-08,2099-12-31,NA
42903942,40799148,Concept replaces,2017-07-30,2099-12-31,NA
40799148,42903942,Concept replaced by,2017-07-30,2099-12-31,NA
19008339,44012729,Concept replaces,2018-08-02,2099-12-31,NA
1308738,44012734,Concept replaces,2018-08-02,2099-12-31,NA
1308738,44012737,Concept replaces,2018-08-02,2099-12-31,NA
44012729,19008339,Concept replaced by,2018-08-02,2099-12-31,NA
44012737,1308738,Concept replaced by,2018-08-02,2099-12-31,NA
44012734,1308738,Concept replaced by,2018-08-02,2099-12-31,NA
36878738,19012585,Concept replaced by,2018-08-02,2099-12-31,NA
44012689,19013765,Concept replaced by,2018-08-02,2099-12-31,NA
36878966,42900164,Concept replaced by,2018-08-02,2099-12-31,NA
36878834,43532448,Concept replaced by,2018-08-02,2099-12-31,NA
44012680,793394,Concept replaced by,2018-08-02,2099-12-31,NA
44012624,964168,Concept replaced by,2018-08-02,2099-12-31,NA
36256124,19100363,Concept replaced by,2018-08-02,2099-12-31,NA
36879105,1401437,Concept replaced by,2018-08-02,2099-12-31,NA
40799182,1304565,Concept replaced by,2018-08-02,2099-12-31,NA
40798914,19067412,Concept replaced by,2018-08-02,2099-12-31,NA
36879007,19123879,Concept replaced by,2018-08-02,2099-12-31,NA
36878743,19093848,Concept replaced by,2018-08-02,2099-12-31,NA
36878628,904356,Concept replaced by,2018-08-02,2099-12-31,NA
44012489,1344143,Concept replaced by,2018-08-02,2099-12-31,NA
42900164,36878966,Concept replaces,2018-08-02,2099-12-31,NA
1401437,36879105,Concept replaces,2018-08-02,2099-12-31,NA
43532448,36878834,Concept replaces,2018-08-02,2099-12-31,NA
1344143,44012489,Concept replaces,2018-08-02,2099-12-31,NA
964168,44012624,Concept replaces,2018-08-02,2099-12-31,NA
793394,44012680,Concept replaces,2018-08-02,2099-12-31,NA
19013765,44012689,Concept replaces,2018-08-02,2099-12-31,NA
19067412,40798914,Concept replaces,2018-08-02,2099-12-31,NA
1304565,40799182,Concept replaces,2018-08-02,2099-12-31,NA
19100363,36256124,Concept replaces,2018-08-02,2099-12-31,NA
19093848,36878743,Concept replaces,2018-08-02,2099-12-31,NA
904356,36878628,Concept replaces,2018-08-02,2099-12-31,NA
19123879,36879007,Concept replaces,2018-08-02,2099-12-31,NA
19012585,36878738,Concept replaces,2018-08-02,2099-12-31,NA
40798803,1366610,Concept replaced by,2019-04-16,2099-12-31,NA
1366610,40798803,Concept replaces,2019-04-16,2099-12-31,NA
35805780,35803409,Has modality,2019-08-29,2099-12-31,NA
35804095,1397599,Has support med Rx,2019-08-29,2099-12-31,NA
35803396,35100058,Has brand name,2019-08-29,2099-12-31,NA
35803008,35100427,Has brand name,2019-08-29,2099-12-31,NA
35803008,35101678,Has brand name,2019-08-29,2099-12-31,NA
35802872,35100458,Has brand name,2019-08-29,2099-12-31,NA
35805735,35803409,Has modality,2019-08-29,2099-12-31,NA
35102011,1305058,Has antineopl Rx,2019-08-29,2099-12-31,NA
35804520,1000560,Has support med Rx,2019-08-29,2099-12-31,NA
35803008,35100312,Has brand name,2019-08-29,2099-12-31,NA
35803008,35101078,Has brand name,2019-08-29,2099-12-31,NA
35102023,1305058,Has local therap Rx,2019-08-29,2099-12-31,NA
35803315,35101263,Has brand name,2019-08-29,2099-12-31,NA
35101471,1305058,Has antineopl Rx,2019-08-29,2099-12-31,NA
35802872,35101404,Has brand name,2019-08-29,2099-12-31,NA
35802872,35100495,Has brand name,2019-08-29,2099-12-31,NA
35102032,35802899,Has antineoplastic,2019-08-29,2099-12-31,NA
35803008,35100669,Has brand name,2019-08-29,2099-12-31,NA
35803396,35100802,Has brand name,2019-08-29,2099-12-31,NA
35803008,35101128,Has brand name,2019-08-29,2099-12-31,NA
35803008,35101693,Has brand name,2019-08-29,2099-12-31,NA
35802872,35100493,Has brand name,2019-08-29,2099-12-31,NA
35806284,35101523,Has supportive med,2019-08-29,2099-12-31,NA
35803008,35101920,Has brand name,2019-08-29,2099-12-31,NA
35803008,35101153,Has brand name,2019-08-29,2099-12-31,NA
35803596,35803396,Has supportive med,2019-08-29,2099-12-31,NA
35803612,35803409,Has modality,2019-08-29,2099-12-31,NA
35803008,35101714,Has brand name,2019-08-29,2099-12-31,NA
35803181,35100318,Has brand name,2019-08-29,2099-12-31,NA
35805731,35803409,Has modality,2019-08-29,2099-12-31,NA
35806284,1322184,Has support med Rx,2019-08-29,2099-12-31,NA
35802872,35101871,Has brand name,2019-08-29,2099-12-31,NA
35804073,35803489,Has local therapy,2019-08-29,2099-12-31,NA
35803181,35100586,Has brand name,2019-08-29,2099-12-31,NA
35802872,35100468,Has brand name,2019-08-29,2099-12-31,NA
35803008,35100831,Has brand name,2019-08-29,2099-12-31,NA
35803008,35100912,Has brand name,2019-08-29,2099-12-31,NA
35803008,35100356,Has brand name,2019-08-29,2099-12-31,NA
35803181,35100578,Has brand name,2019-08-29,2099-12-31,NA
35101858,35101486,Has brand name,2019-08-29,2099-12-31,NA
35100439,35807196,May have route,2019-08-29,2099-12-31,NA
35803008,35100589,Has brand name,2019-08-29,2099-12-31,NA
35101467,1378382,Has antineopl Rx,2019-08-29,2099-12-31,NA
35803008,35101016,Has brand name,2019-08-29,2099-12-31,NA
35803008,35100807,Has brand name,2019-08-29,2099-12-31,NA
35802872,35100684,Has brand name,2019-08-29,2099-12-31,NA
35803994,35100439,Has supportive med,2019-08-29,2099-12-31,NA
35803396,35101845,Has brand name,2019-08-29,2099-12-31,NA
35803008,35100964,Has brand name,2019-08-29,2099-12-31,NA
35803008,35101669,Has brand name,2019-08-29,2099-12-31,NA
35102029,35803385,Has antineoplastic,2019-08-29,2099-12-31,NA
35804166,35803584,Has context,2019-08-29,2099-12-31,NA
35805734,35803409,Has modality,2019-08-29,2099-12-31,NA
35803008,35805018,Has brand name,2019-08-29,2099-12-31,NA
35803008,35100418,Has brand name,2019-08-29,2099-12-31,NA
35803008,35101147,Has brand name,2019-08-29,2099-12-31,NA
35803008,35101105,Has brand name,2019-08-29,2099-12-31,NA
35803008,35101534,Has brand name,2019-08-29,2099-12-31,NA
35803008,35101616,Has brand name,2019-08-29,2099-12-31,NA
35803008,35100918,Has brand name,2019-08-29,2099-12-31,NA
35803008,35101694,Has brand name,2019-08-29,2099-12-31,NA
35802872,35101047,Has brand name,2019-08-29,2099-12-31,NA
35804241,35803080,Has supportive med,2019-08-29,2099-12-31,NA
35802872,35100464,Has brand name,2019-08-29,2099-12-31,NA
35803008,35100310,Has brand name,2019-08-29,2099-12-31,NA
35803008,35101609,Has brand name,2019-08-29,2099-12-31,NA
35803736,35803409,Has modality,2019-08-29,2099-12-31,NA
35806284,35803396,Has supportive med,2019-08-29,2099-12-31,NA
35101640,35803584,Has context,2019-08-29,2099-12-31,NA
35101649,19015523,Has antineopl Rx,2019-08-29,2099-12-31,NA
35802872,35101421,Has brand name,2019-08-29,2099-12-31,NA
35101649,35803296,Has antineoplastic,2019-08-29,2099-12-31,NA
35102032,1305058,Has antineopl Rx,2019-08-29,2099-12-31,NA
35803008,35101123,Has brand name,2019-08-29,2099-12-31,NA
35802872,35100369,Has brand name,2019-08-29,2099-12-31,NA
35806824,35807519,Has modality,2019-08-29,2099-12-31,NA
35804166,35803240,Has supportive med,2019-08-29,2099-12-31,NA
35100362,35807362,Is a,2019-08-29,2099-12-31,NA
35101858,35807196,May have route,2019-08-29,2099-12-31,NA
35806666,35807519,Has modality,2019-08-29,2099-12-31,NA
35803008,35100944,Has brand name,2019-08-29,2099-12-31,NA
35803396,35100630,Has brand name,2019-08-29,2099-12-31,NA
35803181,35101703,Has brand name,2019-08-29,2099-12-31,NA
35102029,35803267,Has antineoplastic,2019-08-29,2099-12-31,NA
35803008,35100909,Has brand name,2019-08-29,2099-12-31,NA
35806383,1000560,Has support med Rx,2019-08-29,2099-12-31,NA
35803008,35100835,Has brand name,2019-08-29,2099-12-31,NA
35806065,35803031,Has supportive med,2019-08-29,2099-12-31,NA
35803632,35803409,Has modality,2019-08-29,2099-12-31,NA
35102021,35803385,Has antineoplastic,2019-08-29,2099-12-31,NA
35102004,1318011,Has antineopl Rx,2019-08-29,2099-12-31,NA
35806284,35802965,Has supportive med,2019-08-29,2099-12-31,NA
35803008,35101917,Has brand name,2019-08-29,2099-12-31,NA
35802872,35101732,Has brand name,2019-08-29,2099-12-31,NA
35804520,1301025,Has support med Rx,2019-08-29,2099-12-31,NA
35803181,35100548,Has brand name,2019-08-29,2099-12-31,NA
35803008,35101097,Has brand name,2019-08-29,2099-12-31,NA
35803008,35100948,Has brand name,2019-08-29,2099-12-31,NA
35102007,1397141,Has antineopl Rx,2019-08-29,2099-12-31,NA
35803181,35100033,Has brand name,2019-08-29,2099-12-31,NA
35803008,35100886,Has brand name,2019-08-29,2099-12-31,NA
35803008,35101671,Has brand name,2019-08-29,2099-12-31,NA
35806286,19024249,Has support med Rx,2019-08-29,2099-12-31,NA
35803181,35100731,Has brand name,2019-08-29,2099-12-31,NA
35803396,35100207,Has brand name,2019-08-29,2099-12-31,NA
35806410,35803080,Has supportive med,2019-08-29,2099-12-31,NA
35805911,35803409,Has modality,2019-08-29,2099-12-31,NA
35803008,35100327,Has brand name,2019-08-29,2099-12-31,NA
35803274,35807196,May have route,2019-08-29,2099-12-31,NA
35101520,40241969,Has antineopl Rx,2019-08-29,2099-12-31,NA
35102013,35803296,Has antineoplastic,2019-08-29,2099-12-31,NA
35806587,35806052,Has supportive med,2019-08-29,2099-12-31,NA
35803181,35100191,Has brand name,2019-08-29,2099-12-31,NA
35802872,35101905,Has brand name,2019-08-29,2099-12-31,NA
35804274,35803489,Has supportive med,2019-08-29,2099-12-31,NA
35803008,35101713,Has brand name,2019-08-29,2099-12-31,NA
35803008,35100921,Has brand name,2019-08-29,2099-12-31,NA
35806420,19078187,Has support med Rx,2019-08-29,2099-12-31,NA
35803541,35803514,Has context,2019-08-29,2099-12-31,NA
35100362,35807190,Is a,2019-08-29,2099-12-31,NA
35803181,35100833,Has brand name,2019-08-29,2099-12-31,NA
35803181,35101705,Has brand name,2019-08-29,2099-12-31,NA
35101642,1318011,Has antineopl Rx,2019-08-29,2099-12-31,NA
35803008,35101102,Has brand name,2019-08-29,2099-12-31,NA
35803995,35803409,Has modality,2019-08-29,2099-12-31,NA
35803396,35100059,Has brand name,2019-08-29,2099-12-31,NA
35802872,35100457,Has brand name,2019-08-29,2099-12-31,NA
35803181,35101815,Has brand name,2019-08-29,2099-12-31,NA
35803385,35100998,Has brand name,2019-08-29,2099-12-31,NA
35804520,35803247,Has supportive med,2019-08-29,2099-12-31,NA
35803008,35100210,Has brand name,2019-08-29,2099-12-31,NA
35804095,1378382,Has support med Rx,2019-08-29,2099-12-31,NA
35803008,35101602,Has brand name,2019-08-29,2099-12-31,NA
35803181,35101826,Has brand name,2019-08-29,2099-12-31,NA
35101640,35804141,Has context,2019-08-29,2099-12-31,NA
35803345,35807196,May have route,2019-08-29,2099-12-31,NA
35102013,35803385,Has antineoplastic,2019-08-29,2099-12-31,NA
35803008,35101687,Has brand name,2019-08-29,2099-12-31,NA
35101351,35803385,Has antineoplastic,2019-08-29,2099-12-31,NA
35805373,35802965,Has supportive med,2019-08-29,2099-12-31,NA
35806284,35806052,Has supportive med,2019-08-29,2099-12-31,NA
35805334,35803008,Has supportive med,2019-08-29,2099-12-31,NA
35805329,1305058,Has local therap Rx,2019-08-29,2099-12-31,NA
35805373,1322184,Has support med Rx,2019-08-29,2099-12-31,NA
35101471,1305058,Has local therap Rx,2019-08-29,2099-12-31,NA
35101467,35803228,Has antineoplastic,2019-08-29,2099-12-31,NA
35803181,35100596,Has brand name,2019-08-29,2099-12-31,NA
35803008,35100357,Has brand name,2019-08-29,2099-12-31,NA
35804074,1304565,Has support med Rx,2019-08-29,2099-12-31,NA
35803008,35101091,Has brand name,2019-08-29,2099-12-31,NA
35803008,35100376,Has brand name,2019-08-29,2099-12-31,NA
35100304,35803008,Has antineoplastic,2019-08-29,2099-12-31,NA
35102010,35804141,Has context,2019-08-29,2099-12-31,NA
35804073,1304565,Has support med Rx,2019-08-29,2099-12-31,NA
35802872,35100476,Has brand name,2019-08-29,2099-12-31,NA
35803008,35100967,Has brand name,2019-08-29,2099-12-31,NA
35803008,35101124,Has brand name,2019-08-29,2099-12-31,NA
35803181,35100555,Has brand name,2019-08-29,2099-12-31,NA
35803396,35100055,Has brand name,2019-08-29,2099-12-31,NA
35802872,35100483,Has brand name,2019-08-29,2099-12-31,NA
35806403,35802974,Has supportive med,2019-08-29,2099-12-31,NA
35803008,35101101,Has brand name,2019-08-29,2099-12-31,NA
35805329,1378382,Has support med Rx,2019-08-29,2099-12-31,NA
35803008,35101122,Has brand name,2019-08-29,2099-12-31,NA
35806284,35101524,Has supportive med,2019-08-29,2099-12-31,NA
35806863,35804160,Has supportive med,2019-08-29,2099-12-31,NA
35803008,35101667,Has brand name,2019-08-29,2099-12-31,NA
35803008,35100929,Has brand name,2019-08-29,2099-12-31,NA
35102021,19012585,Has antineopl Rx,2019-08-29,2099-12-31,NA
35802872,35101872,Has brand name,2019-08-29,2099-12-31,NA
35803008,35101379,Has brand name,2019-08-29,2099-12-31,NA
35806409,35803080,Has supportive med,2019-08-29,2099-12-31,NA
35803008,35101736,Has brand name,2019-08-29,2099-12-31,NA
35803008,35101075,Has brand name,2019-08-29,2099-12-31,NA
35804400,975125,Has local therap Rx,2019-08-29,2099-12-31,NA
35806274,35803396,Has supportive med,2019-08-29,2099-12-31,NA
35803008,35101817,Has brand name,2019-08-29,2099-12-31,NA
35805733,35803409,Has modality,2019-08-29,2099-12-31,NA
35803008,35100924,Has brand name,2019-08-29,2099-12-31,NA
35803181,35100598,Has brand name,2019-08-29,2099-12-31,NA
35802872,35101403,Has brand name,2019-08-29,2099-12-31,NA
35803008,35100717,Has brand name,2019-08-29,2099-12-31,NA
35803008,35100565,Has brand name,2019-08-29,2099-12-31,NA
35803008,35101325,Has brand name,2019-08-29,2099-12-31,NA
35802872,35100489,Has brand name,2019-08-29,2099-12-31,NA
35805921,35803409,Has modality,2019-08-29,2099-12-31,NA
35802872,35101720,Has brand name,2019-08-29,2099-12-31,NA
35803623,35803409,Has modality,2019-08-29,2099-12-31,NA
35102032,35803008,Has antineoplastic,2019-08-29,2099-12-31,NA
35803008,35100819,Has brand name,2019-08-29,2099-12-31,NA
35803541,1703687,Has support med Rx,2019-08-29,2099-12-31,NA
35803428,35803409,Has modality,2019-08-29,2099-12-31,NA
35806586,35806052,Has supportive med,2019-08-29,2099-12-31,NA
35803008,35100571,Has brand name,2019-08-29,2099-12-31,NA
35804400,1305058,Has local therap Rx,2019-08-29,2099-12-31,NA
35804408,35802981,Has local therapy,2019-08-29,2099-12-31,NA
35802872,35100198,Has brand name,2019-08-29,2099-12-31,NA
35803181,35101377,Has brand name,2019-08-29,2099-12-31,NA
35803008,35101532,Has brand name,2019-08-29,2099-12-31,NA
35803008,35100227,Has brand name,2019-08-29,2099-12-31,NA
35802872,35100837,Has brand name,2019-08-29,2099-12-31,NA
35102031,35803267,Has antineoplastic,2019-08-29,2099-12-31,NA
35803008,35101702,Has brand name,2019-08-29,2099-12-31,NA
35803008,35100047,Has brand name,2019-08-29,2099-12-31,NA
35803442,35802979,Has local therapy,2019-08-29,2099-12-31,NA
35802872,35100465,Has brand name,2019-08-29,2099-12-31,NA
35102023,35802996,Has antineoplastic,2019-08-29,2099-12-31,NA
35803008,35100105,Has brand name,2019-08-29,2099-12-31,NA
35802872,35100463,Has brand name,2019-08-29,2099-12-31,NA
35102031,35803385,Has antineoplastic,2019-08-29,2099-12-31,NA
35803008,35101099,Has brand name,2019-08-29,2099-12-31,NA
35803008,35100590,Has brand name,2019-08-29,2099-12-31,NA
35805468,1730370,Has support med Rx,2019-08-29,2099-12-31,NA
35806271,19024249,Has support med Rx,2019-08-29,2099-12-31,NA
35803008,35100907,Has brand name,2019-08-29,2099-12-31,NA
35802872,35100625,Has brand name,2019-08-29,2099-12-31,NA
35802872,35101878,Has brand name,2019-08-29,2099-12-31,NA
35803181,35100093,Has brand name,2019-08-29,2099-12-31,NA
35102023,35803385,Has antineoplastic,2019-08-29,2099-12-31,NA
35803396,35101170,Has brand name,2019-08-29,2099-12-31,NA
35803008,35101095,Has brand name,2019-08-29,2099-12-31,NA
35806383,35803334,Has supportive med,2019-08-29,2099-12-31,NA
35803181,35101861,Has brand name,2019-08-29,2099-12-31,NA
35802872,35101886,Has brand name,2019-08-29,2099-12-31,NA
35101520,19015523,Has antineopl Rx,2019-08-29,2099-12-31,NA
35805683,35803396,Has supportive med,2019-08-29,2099-12-31,NA
35102015,19024249,Has support med Rx,2019-08-29,2099-12-31,NA
35802872,35100481,Has brand name,2019-08-29,2099-12-31,NA
35802872,35100408,Has brand name,2019-08-29,2099-12-31,NA
35803008,35100950,Has brand name,2019-08-29,2099-12-31,NA
35803396,35100065,Has brand name,2019-08-29,2099-12-31,NA
35802872,35101000,Has brand name,2019-08-29,2099-12-31,NA
35803181,35101704,Has brand name,2019-08-29,2099-12-31,NA
35803396,35101306,Has brand name,2019-08-29,2099-12-31,NA
35803008,35101104,Has brand name,2019-08-29,2099-12-31,NA
35803181,35100597,Has brand name,2019-08-29,2099-12-31,NA
35803008,35100042,Has brand name,2019-08-29,2099-12-31,NA
35102021,35803267,Has antineoplastic,2019-08-29,2099-12-31,NA
35102021,35802996,Has antineoplastic,2019-08-29,2099-12-31,NA
35802872,35100466,Has brand name,2019-08-29,2099-12-31,NA
35101654,35807190,Is a,2019-08-29,2099-12-31,NA
35102011,35803296,Has antineoplastic,2019-08-29,2099-12-31,NA
35803396,35100064,Has brand name,2019-08-29,2099-12-31,NA
35803008,35101111,Has brand name,2019-08-29,2099-12-31,NA
35803113,35101367,Has brand name,2019-08-29,2099-12-31,NA
35803008,35101137,Has brand name,2019-08-29,2099-12-31,NA
35803181,35100549,Has brand name,2019-08-29,2099-12-31,NA
35803396,35100062,Has brand name,2019-08-29,2099-12-31,NA
35805729,35803409,Has modality,2019-08-29,2099-12-31,NA
35804163,35803008,Has supportive med,2019-08-29,2099-12-31,NA
35803432,35803409,Has modality,2019-08-29,2099-12-31,NA
35802872,35100488,Has brand name,2019-08-29,2099-12-31,NA
35803181,35101344,Has brand name,2019-08-29,2099-12-31,NA
35101312,35803480,Has context,2019-08-29,2099-12-31,NA
35803008,35101316,Has brand name,2019-08-29,2099-12-31,NA
35803181,35100614,Has brand name,2019-08-29,2099-12-31,NA
35803181,35100545,Has brand name,2019-08-29,2099-12-31,NA
35803396,35100634,Has brand name,2019-08-29,2099-12-31,NA
35102013,1338512,Has antineopl Rx,2019-08-29,2099-12-31,NA
35803994,35803409,Has modality,2019-08-29,2099-12-31,NA
35805075,35803169,Has supportive med,2019-08-29,2099-12-31,NA
35803008,35101700,Has brand name,2019-08-29,2099-12-31,NA
35803181,35101708,Has brand name,2019-08-29,2099-12-31,NA
35803008,35101100,Has brand name,2019-08-29,2099-12-31,NA
35803431,35803409,Has modality,2019-08-29,2099-12-31,NA
35102019,35803489,Has antineoplastic,2019-08-29,2099-12-31,NA
35803181,35100551,Has brand name,2019-08-29,2099-12-31,NA
35803620,35803267,Has supportive med,2019-08-29,2099-12-31,NA
35803008,35100972,Has brand name,2019-08-29,2099-12-31,NA
35102031,35803240,Has supportive med,2019-08-29,2099-12-31,NA
35803008,35100530,Has brand name,2019-08-29,2099-12-31,NA
35803181,35101706,Has brand name,2019-08-29,2099-12-31,NA
35803008,35101098,Has brand name,2019-08-29,2099-12-31,NA
35803493,35803409,Has modality,2019-08-29,2099-12-31,NA
35803181,35100097,Has brand name,2019-08-29,2099-12-31,NA
35802872,35101444,Has brand name,2019-08-29,2099-12-31,NA
35803008,35101345,Has brand name,2019-08-29,2099-12-31,NA
35802872,35101896,Has brand name,2019-08-29,2099-12-31,NA
35802872,35101663,Has brand name,2019-08-29,2099-12-31,NA
35803008,35101073,Has brand name,2019-08-29,2099-12-31,NA
35803396,35100756,Has brand name,2019-08-29,2099-12-31,NA
35102023,35803267,Has antineoplastic,2019-08-29,2099-12-31,NA
35102007,35802921,Has antineoplastic,2019-08-29,2099-12-31,NA
35806284,35101858,Has supportive med,2019-08-29,2099-12-31,NA
35802872,35101890,Has brand name,2019-08-29,2099-12-31,NA
35806403,1308738,Has support med Rx,2019-08-29,2099-12-31,NA
35802872,35101876,Has brand name,2019-08-29,2099-12-31,NA
35803181,35101746,Has brand name,2019-08-29,2099-12-31,NA
35805075,1703687,Has support med Rx,2019-08-29,2099-12-31,NA
35101312,984232,Has antineopl Rx,2019-08-29,2099-12-31,NA
35102005,1318011,Has antineopl Rx,2019-08-29,2099-12-31,NA
35803008,35101371,Has brand name,2019-08-29,2099-12-31,NA
35805780,35803008,Has supportive med,2019-08-29,2099-12-31,NA
35102019,35803584,Has context,2019-08-29,2099-12-31,NA
35805717,1350066,Has local therap Rx,2019-08-29,2099-12-31,NA
35803008,35101535,Has brand name,2019-08-29,2099-12-31,NA
35806285,35803396,Has supportive med,2019-08-29,2099-12-31,NA
35803008,35100834,Has brand name,2019-08-29,2099-12-31,NA
35803485,35803409,Has modality,2019-08-29,2099-12-31,NA
35803181,35101044,Has brand name,2019-08-29,2099-12-31,NA
35803541,1717704,Has support med Rx,2019-08-29,2099-12-31,NA
35803008,35101928,Has brand name,2019-08-29,2099-12-31,NA
35802872,35101712,Has brand name,2019-08-29,2099-12-31,NA
35802872,35101650,Has brand name,2019-08-29,2099-12-31,NA
35802872,35101836,Has brand name,2019-08-29,2099-12-31,NA
35101649,1396729,Has antineopl Rx,2019-08-29,2099-12-31,NA
35803008,35101634,Has brand name,2019-08-29,2099-12-31,NA
35803181,35100394,Has brand name,2019-08-29,2099-12-31,NA
35803008,35100901,Has brand name,2019-08-29,2099-12-31,NA
35804095,35803008,Has supportive med,2019-08-29,2099-12-31,NA
35802872,35101880,Has brand name,2019-08-29,2099-12-31,NA
35102031,1338512,Has antineopl Rx,2019-08-29,2099-12-31,NA
35806849,35807519,Has modality,2019-08-29,2099-12-31,NA
35803008,35101996,Has brand name,2019-08-29,2099-12-31,NA
35803008,35100003,Has brand name,2019-08-29,2099-12-31,NA
35803008,35100517,Has brand name,2019-08-29,2099-12-31,NA
35802872,35100787,Has brand name,2019-08-29,2099-12-31,NA
35803396,35100061,Has brand name,2019-08-29,2099-12-31,NA
35803008,35100937,Has brand name,2019-08-29,2099-12-31,NA
35102032,1717704,Has support med Rx,2019-08-29,2099-12-31,NA
35803008,35100910,Has brand name,2019-08-29,2099-12-31,NA
35803008,35100956,Has brand name,2019-08-29,2099-12-31,NA
35101471,35803514,Has context,2019-08-29,2099-12-31,NA
35101351,35803514,Has context,2019-08-29,2099-12-31,NA
35803181,35100595,Has brand name,2019-08-29,2099-12-31,NA
35102015,35803267,Has antineoplastic,2019-08-29,2099-12-31,NA
35803396,35100057,Has brand name,2019-08-29,2099-12-31,NA
35101467,1387104,Has antineopl Rx,2019-08-29,2099-12-31,NA
35802872,35101398,Has brand name,2019-08-29,2099-12-31,NA
35803008,35100344,Has brand name,2019-08-29,2099-12-31,NA
35802872,35100879,Has brand name,2019-08-29,2099-12-31,NA
35803430,35803409,Has modality,2019-08-29,2099-12-31,NA
35803008,35100315,Has brand name,2019-08-29,2099-12-31,NA
35803396,35100060,Has brand name,2019-08-29,2099-12-31,NA
35803008,35101540,Has brand name,2019-08-29,2099-12-31,NA
35803008,35100662,Has brand name,2019-08-29,2099-12-31,NA
35102031,1329241,Has antineopl Rx,2019-08-29,2099-12-31,NA
35803008,35100181,Has brand name,2019-08-29,2099-12-31,NA
35803341,35101484,Has brand name,2019-08-29,2099-12-31,NA
35807190,1396729,Subsumes,2019-08-29,2099-12-31,NA
35807190,1355650,Subsumes,2019-08-29,2099-12-31,NA
35807311,19038562,Subsumes,2019-08-29,2099-12-31,NA
35804223,35804166,Concept replaced by,2019-08-29,2099-12-31,NA
35803409,35805780,Modality of,2019-08-29,2099-12-31,NA
1397599,35804095,Rx support med of,2019-08-29,2099-12-31,NA
35100058,35803396,Brand name of,2019-08-29,2099-12-31,NA
35100427,35803008,Brand name of,2019-08-29,2099-12-31,NA
35101678,35803008,Brand name of,2019-08-29,2099-12-31,NA
